STATE,CLASS,GENDER,AGE,PAID
STATE 15,F6 ,F,95,2384.67
STATE 15,F6 ,M,95,650
STATE 02,C11,F,92,654
STATE 15,C11,M,91,3890.07
STATE 04,C6 ,M,91,295.99
STATE 02,C11,M,90,11756.34
STATE 01,C6 ,F,90,2402
STATE 07,C6 ,F,90,296.97
STATE 15,C1 ,F,90,249.1
STATE 03,C11,M,88,14833.3
STATE 04,C11,F,88,3025
STATE 15,C6 ,F,88,2750
STATE 06,C6 ,F,88,2612.74
STATE 15,F6 ,M,88,1259.89
STATE 15,C11,M,88,824.85
STATE 04,C11,M,88,669.5
STATE 15,F6 ,F,88,664.34
STATE 14,C11,M,88,408.39
STATE 15,F6 ,M,87,3953.84
STATE 03,C11,M,87,3841.66
STATE 17,C6 ,F,87,239.37
STATE 15,C6 ,M,87,30
STATE 15,C6 ,F,86,6384
STATE 15,C6 ,M,86,4467.92
STATE 10,C6 ,F,86,1541.1
STATE 15,C6 ,M,86,1354.93
STATE 02,C11,M,86,1263.51
STATE 02,F6 ,F,86,1045
STATE 15,F6 ,M,86,519.75
STATE 02,C1 ,M,86,499.28
STATE 15,C6 ,F,86,365.26
STATE 17,C6 ,F,86,322.34
STATE 01,C6 ,M,86,122.41
STATE 01,C11,M,85,10524.64
STATE 17,C6 ,M,85,6854.02
STATE 12,C6 ,M,85,3206.76
STATE 02,C6 ,M,85,2724.04
STATE 15,C11,F,85,2269
STATE 04,C11,M,85,2169.88
STATE 15,C6 ,M,85,1929.81
STATE 15,C11,F,85,1061.8
STATE 17,C11,F,85,945.8
STATE 02,C11,M,85,899.13
STATE 17,C11,M,84,7326.67
STATE 02,C6 ,M,84,5301.72
STATE 02,C11,M,84,3596.5
STATE 15,C11,M,84,2322.72
STATE 04,C11,M,84,1944.45
STATE 14,C6 ,F,84,1491.69
STATE 01,F6 ,M,84,1314.4
STATE 17,C6 ,M,84,836.78
STATE 15,C11,M,84,479
STATE 07,C1B,M,84,426.19
STATE 03,C11,M,83,3112.89
STATE 02,C11,M,83,2500
STATE 15,C11,M,83,1921.22
STATE 15,C1 ,M,83,1472.87
STATE 15,C11,M,83,1444.89
STATE 17,C11,F,83,1368.76
STATE 17,C6 ,M,83,1346.36
STATE 15,C11,M,83,772.23
STATE 15,C6 ,M,83,688.67
STATE 04,C11,M,83,362.63
STATE 15,C1 ,M,83,359.41
STATE 02,C6 ,F,83,354.29
STATE 17,C6 ,M,83,262.81
STATE 02,C6 ,F,83,244.11
STATE 02,F6 ,F,82,9377.82
STATE 02,C6 ,M,82,5540.07
STATE 15,C11,M,82,3118.5
STATE 15,C11,M,82,2495.8
STATE 15,C6 ,F,82,2362.89
STATE 15,C11,F,82,2007.78
STATE 02,C6 ,M,82,1816.41
STATE 01,F6 ,M,82,1500
STATE 15,C6 ,M,82,1139.6
STATE 02,C11,M,82,952.05
STATE 15,C6 ,M,82,746.89
STATE 02,C6 ,M,82,644.87
STATE 02,C6 ,F,82,188.61
STATE 02,C11,F,82,117.4
STATE 02,C1 ,M,81,12714.43
STATE 15,C6 ,M,81,10116.07
STATE 04,C11,M,81,1949.14
STATE 15,C6 ,M,81,1852.5
STATE 15,C6 ,M,81,1722.82
STATE 15,C6 ,M,81,1539.07
STATE 10,C1 ,M,81,1476.43
STATE 15,C11,M,81,1458.13
STATE 15,F6 ,M,81,1119.52
STATE 15,C11,M,81,990.07
STATE 10,C6 ,F,81,987
STATE 15,C1 ,M,81,782.44
STATE 04,C11,M,81,459
STATE 14,C1 ,M,81,377.36
STATE 15,C1 ,M,81,319.67
STATE 17,F6 ,M,81,176.07
STATE 17,F6 ,F,81,154.75
STATE 02,F6 ,F,80,8493.76
STATE 17,F6 ,M,80,3809.83
STATE 02,C11,M,80,3222.66
STATE 02,F6 ,M,80,1113.38
STATE 17,F6 ,F,80,766.4
STATE 15,C6 ,F,80,663.17
STATE 15,C11,M,80,640.4
STATE 14,F6 ,M,80,619.06
STATE 06,C1B,F,80,419.18
STATE 17,C11,M,80,298.62
STATE 15,C6 ,M,80,160.2
STATE 15,C1 ,F,80,105.5
STATE 12,C6 ,F,79,8323.31
STATE 17,C6 ,F,79,6291.84
STATE 15,C11,M,79,4904.64
STATE 14,C6 ,M,79,4096.58
STATE 15,C6 ,M,79,3334.65
STATE 15,C6 ,F,79,1755.95
STATE 15,C6 ,M,79,1160.63
STATE 04,C6 ,F,79,1098.37
STATE 12,C6 ,M,79,818.79
